timestamp,size,anomaly
1739421116.857821,728,False
1739421116.861097,232,False
1739421116.901796,74,False
1739421116.902051,74,False
1739421116.902176,177,False
1739421116.902971,136,False
1739421116.903075,74,False
1739421116.903171,105,False
1739421116.921181,91,False
1739421116.928244,139,False
1739421116.936726,1292,False
1739421116.938251,1292,False
1739421116.938481,1292,False
1739421116.938736,1292,False
1739421116.938972,1292,False
1739421116.939635,1292,False
1739421116.943077,99,False
1739421116.944505,1292,False
1739421116.952528,142,False
1739421116.952635,93,False
1739421116.952784,148,False
1739421116.964031,1292,False
1739421116.964412,94,False
1739421116.96672,1292,False
1739421116.966999,1292,False
1739421116.96708,243,False
1739421116.967151,91,False
1739421116.967275,140,False
1739421116.967541,1292,False
1739421116.967801,1292,False
1739421116.969008,1292,False
1739421116.969266,1292,False
1739421116.969481,1292,False
1739421116.969777,1292,False
1739421116.969795,98,False
1739421116.970024,1292,False
1739421116.97166,233,False
1739421116.972656,1292,False
1739421116.972853,1292,False
1739421116.973097,1292,False
1739421116.97336,1292,False
1739421116.973627,1292,False
1739421116.975073,1292,False
1739421116.975286,1292,False
1739421116.975548,1292,False
1739421116.975769,1061,False
1739421116.975952,827,False
1739421116.981954,233,False
1739421116.982148,1556,False
1739421116.982199,176,False
1739421117.018129,74,False
1739421117.037842,54,False
1739420133.505783,424,False
1739421117.046022,93,False
1739421117.046155,88,False
1739421117.062859,74,False
1739421117.077221,91,False
1739421117.077401,91,False
1739421117.086558,163,False
1739421117.086847,1292,False
1739421117.087119,1292,False
1739421117.088273,1292,False
1739421117.088517,1292,False
1739421117.088764,1292,False
1739421117.088998,1292,False
1739421117.089269,1292,False
1739421117.089407,491,False
1739421117.089488,86,False
1739421117.089577,98,False
1739421117.089693,140,False
1739421117.089896,1292,False
1739421117.09015,1292,False
1739421117.090389,1292,False
1739421117.090653,1292,False
1739421117.090929,1292,False
1739421117.091185,1292,False
1739421117.09147,1292,False
1739421117.091679,1292,False
1739421117.091808,98,False
1739421117.091946,1292,False
1739421117.092016,278,False
1739421117.094749,233,False
1739421117.095855,54,False
1739421117.098802,86,False
1739421117.102883,180,False
1739421117.159137,283,False
1739421117.161771,172,False
1739421117.161894,54,False
1739421117.201818,88,False
1739421117.201929,92,False
1739421117.20201,92,False
1739421117.210076,140,False
1739421117.210267,243,False
1739421117.210419,1292,False
1739421117.210651,1292,False
1739421117.210939,1292,False
1739421117.211207,1292,False
1739421117.211425,1292,False
1739421117.21175,1292,False
1739421117.211974,1292,False
1739421117.212239,1292,False
1739421117.212444,1292,False
1739421117.212527,98,False
1739421117.212801,1292,False
1739421117.218208,324,False
1739421117.218332,74,False
1739421117.218374,115,False
1739421117.218772,1292,False
1739421117.218903,105,False
1739421117.218979,74,False
1739421117.219224,1292,False
1739421117.219471,1135,False
1739421117.227014,309,False
1739421117.227196,2517,False
1739421117.239934,95,False
1739421117.254547,301,False
1739421117.2547,398,False
1739421117.254811,220,False
1739421117.254872,74,False
1739421117.254909,112,False
1739421117.255079,342,False
1739421117.255184,74,False
1739421117.255196,115,False
1739421117.255373,105,False
1739421117.255623,74,False
1739421117.270384,309,False
1739421117.270529,2511,False
1739421117.303947,74,False
1739421117.318843,88,False
1739421117.32756,586,False
1739421117.327663,1292,False
1739421117.327883,1292,False
1739421117.328159,1292,False
1739421117.328446,1292,False
1739421117.329099,1292,False
1739421117.329551,1292,False
1739421117.329637,1292,False
1739421117.329944,1292,False
1739421117.330235,1292,False
1739421117.330433,98,False
1739421117.330491,1292,False
1739421117.33333,1292,False
1739421117.33353,1292,False
1739421117.333818,1292,False
1739421117.334189,1292,False
1739421117.334519,1292,False
1739421117.334519,1292,False
1739421117.335464,1292,False
